nr,SessionID,Activity,Trial,ROI start,ROI end,Notes
,,nsdj,l3,3.879,4.412,
,,nsdj,r1,3.675,4.213,
,,nsdj,r2,3.788,4.338,
,,nsdj,r3,3.783,4.300,
,,nsdj,r3_1,3.825,4.292,
,8b35b045-0ced-4920-83d0-a30032d038ab,nrc,l1,3.983,4.304,
,,nrc,l2,4.938,5.246,
,,nrc,l3,4.358,4.629,
,,nrc,r1,4.396,4.783,
,,nrc,r2,4.604,5.004,
,,nrc,r3,4.279,4.650,
,,nsdj,l1,4.200,4.767,
,,nsdj,l2,4.404,4.896,
,,nsdj,l3,4.287,4.867,
,,nsdj,r1,4.408,5.050,
,,nsdj,r2,4.504,5.008,
,,nsdj,r3,4.612,5.158,
,,crc,l1,4.542,4.971,
,,crc,l2,4.458,4.804,
,,crc,l3,5.058,5.404,
,,crc,r1,4.333,4.696,
,,crc,r2,5.004,5.379,
,,crc,r3,4.729,5.104,L/R Synced
,,csdj,l1,4.554,5.200,
,,csdj,l2,4.400,5.075,
,,csdj,l3,4.567,5.321,
,,csdj,r1,4.312,4.967,
,,csdj,r2,4.562,5.242,
,,csdj,r3,4.725,5.412,
TRT_SIM_05,28761f96-bb2d-4f00-a345-917ba58ab594,nrc,l1,,,didnt process
,,nrc,l1_1,,,all slightly off
,,nrc,l2,,,all slightly off
,,nrc,l3,5.263,5.617,C/L Synced
,,nrc,r1,,,visual bug
,,nrc,r2,6.729,7.042,
,,nrc,r3,4.975,5.275,
,,nsdj,l1,3.583,4.000,
,,nsdj,l2,5.375,5.771,
,,nsdj,l3,4.500,4.912,
,,nsdj,r1,5.196,5.592,
,,nsdj,r2,4.717,5.108,
,,nsdj,r3,4.796,5.142,
,f90beb5f-3b96-4ce0-be23-aabbe38f87b5,nrc,l1,,,not synced
,,nrc,l2,4.867,5.225,
,,nrc,l3,,,not synced
,,nrc,r1,5.429,5.708,R/C Synced
,,nrc,r2,5.550,5.829,
,,nrc,r3,4.912,5.196,
,,nsdj,l1,4.713,5.104,
,,nsdj,l2,4.404,4.808,
,,nsdj,l3,4.250,4.642,
,,nsdj,r1,4.458,4.821,
,,nsdj,r2,4.579,4.967,
,,nsdj,r3,4.783,5.183,
,,nsdj,r3_1,4.217,4.604,
,,crc,l1,4.958,5.383,C/L synced
,,crc,l2,5.279,5.750,
,,crc,l3,4.900,5.362,C/R Synced
,,crc,r1,5.175,5.671,
,,crc,r2,5.329,5.804,
,,crc,r3,,,not synced
,,csdj,l1,4.721,5.317,
,,csdj,l2,4.604,5.112,
,,csdj,l3,4.612,5.125,
,,csdj,r1,4.612,5.188,
,,csdj,r2,5.067,5.633,
,,csdj,r3,4.463,5.025,
TRT_SIM_S06,573a3c89-7207-4c8c-ad18-24a3ff8aa57f,nrc,l1,4.821,5.188,
,,nrc,l2,,,not synced
,,nrc,l3,5.058,5.379,
,,nrc,r1,5.875,6.204,
,,nrc,r2,5.371,5.721,
,,nrc,r3,5.683,6.025,
,,nsdj,l1,4.688,5.054,
,,nsdj,l2,4.258,4.629,
,,nsdj,l3,4.292,4.667,
,,nsdj,r1,5.062,5.579,
,,nsdj,r1_1,4.542,4.921,
,,nsdj,r2,,,not synced
,,nsdj,r3,4.058,4.429,
,3b9b0a35-eaca-418d-b3a7-3cb3c41387da,nrc,l1,5.108,5.438,
,,nrc,l2,,,not synced
,,nrc,l3,4.612,4.936,C/L Synced
,,nrc,r1,5.579,5.921,
,,nrc,r2,5.062,5.392,
,,nrc,r3,5.162,5.471,
,,nsdj,l1,4.154,4.508,
,,nsdj,l2,4.821,5.171,
,,nsdj,l3,4.371,4.737,
,,nsdj,r1,4.662,5.021,
,,nsdj,r2,4.629,4.987,
,,nsdj,r3,4.388,4.742,
,,crc,l1,5.537,5.883,
,,crc,l2,,,not synced
,,crc,l3,5.633,6.008,
,,crc,r1,5.775,6.133,
,,crc,r2,5.467,5.846,
,,crc,r3,5.879,6.250,
,,csdj,l1,4.879,5.421,
,,csdj,l2,5.408,6.037,
,,csdj,l3,,,missing?
,,csdj,r1,4.271,4.838,
,,csdj,r2,4.858,5.458,
,,csdj,r3,5.325,5.833,
,,csdj,r3_1,4.683,5.192,
,,csdj,r3_2,4.471,5.037,
TRT_SIM_S07,b43efc93-1775-40b0-8bd9-ae6de60280d1,nrc,l1,4.883,5.254,
,,nrc,l2,5.946,6.283,
,,nrc,l3,5.612,5.967,
,,nrc,r1,5.090,6.362,C/L Synced
,,nrc,r2,6.475,6.796,
,,nrc,r3,5.221,5.542,
,,nsdj,l1,4.358,4.854,
,,nsdj,l2,4.429,4.921,
,,nsdj,l3,4.875,5.354,
,,nsdj,r1,4.367,4.904,
,,nsdj,r2,4.600,5.100,
,,nsdj,r3,4.213,4.713,
,1420ae18-4734-4136-bd7a-3cf49292aec6,nrc,l1,5.421,5.779,
,,nrc,l2,4.629,4.950,
,,nrc,l3,5.296,5.638,
,,nrc,r1,5.471,5.821,
,,nrc,r2,,,faulty 
,,nrc,r2_1,5.083,5.375,
,,nrc,r3,4.800,5.096,
,,nsdj,l1,4.250,4.713,
,,nsdj,l2,4.300,4.763,
,,nsdj,l3,4.487,4.942,
,,nsdj,r1,4.317,4.800,
,,nsdj,r2,5.162,5.633,
,,nsdj,r3,4.537,5.054,
,,crc,l1,,,not synced
,,crc,l2,5.008,5.467,
,,crc,l3,5.125,5.671,L/R Synced
,,crc,r1,5.617,6.088,
,,crc,r2,5.537,6.075,
,,crc,r3,6.067,6.513,
,,csdj,l1,5.104,5.588,
,,csdj,l2,4.675,5.279,
,,csdj,l3,5.933,6.487,
,,csdj,r1,4.771,5.454,
,,csdj,r2,,,didnt upload
,,csdj,r2_1,5.067,5.654,
,,csdj,r3,5.254,5.850,
TRT_SIM_08,3043823f-f12b-4c53-8e25-5b506fc64080,nrc,l1,5.604,5.987,
,,nrc,l2,5.042,5.438,
,,nrc,l3,5.767,6.112,
,,nrc,r1,6.121,6.508,
,,nrc,r2,5.037,5.446,
,,nrc,r3,5.546,5.921,
,,nsdj,l1,4.763,5.208,
,,nsdj,l2,5.092,5.504,
,,nsdj,l3,5.183,5.583,
,,nsdj,r1,5.846,6.367,
,,nsdj,r2,,,"no jump, re-record missing"
,,nsdj,r3,5.583,6.037,
,5323923b-8fc6-4fed-bf31-a0e5a74c4583,nrc,l1,2.133,2.500,
,,nrc,l1_1,6.075,6.417,
,,nrc,l2,6.342,6.692,
,,nrc,l3,6.779,7.175,
,,nrc,r1,5.629,5.992,
,,nrc,r2,5.704,6.171,L/R Synced
,,nrc,r3,6.567,6.912,
,,nsdj,l1,5.058,5.492,
,,nsdj,l2,5.554,5.967,
,,nsdj,l3,4.333,4.783,
,,nsdj,r1,5.892,6.317,
,,nsdj,r2,5.329,5.758,
,,nsdj,r3,5.208,5.638,
,,crc,l1,6.737,7.362,
,,crc,l2,5.967,6.621,
,,crc,l3,7.250,7.875,
,,crc,r1,6.812,7.442,
,,crc,r2,6.125,6.737,L/R Synced
,,crc,r3,6.162,6.821,
,,csdj,l1,3.250,3.896,
,,csdj,l2,5.438,5.921,
,,csdj,l3,6.383,6.904,C/R Synced
,,csdj,r1,,,no jump
,,csdj,r1_1,5.487,6.021,
,,csdj,r2,5.696,6.233,
,,csdj,r3,5.333,5.896,
TRT_SIM_09,a846770e-9da1-4a42-a128-b615dcebe495,nrc,l1,4.838,5.112,
,,nrc,l1_1,5.138,5.471,
,,nrc,l2,4.933,5.258,C/R Synced
,,nrc,l3,4.742,5.067,
,,nrc,r1,4.875,5.175,
,,nrc,r1_1,5.450,5.750,
,,nrc,r2,4.933,5.254,
,,nrc,r3,5.263,5.583,L/R Synced
,,nsdj,l1,4.792,5.225,
,,nsdj,l2,5.079,5.529,
,,nsdj,l3,,,all 3 cameras didnt upload
,,nsdj,r1,5.217,5.696,
,,nsdj,r2,5.608,6.058,
,,nsdj,r3,5.158,5.629,
,42c0f4e5-f089-485f-b741-92e99d224101,nrc,l1,4.671,4.946,
,,nrc,l2,,,didnt upload
,,nrc,l2_1,8.800,9.117,
,,nrc,l3,4.513,4.796,C/R Synced
,,nrc,r1,5.267,5.583,
,,nrc,r2,4.696,4.971,
,,nrc,r3,5.192,5.463,C/L Synced
,,nsdj,l1,4.642,5.100,
,,nsdj,l2,5.167,5.679,
,,nsdj,l3,4.750,5.233,
,,nsdj,r1,4.317,4.812,
,,nsdj,r2,4.842,5.338,
,,nsdj,r3,4.067,4.542,
,,crc,l1,5.317,5.829,
,,crc,l2,,,Not synced
,,crc,l3,,,not synced 
,,crc,r1,5.992,6.504,
,,crc,r2,5.279,5.729,
,,crc,r3,5.608,6.108,
,,csdj,l1,4.621,5.196,
,,csdj,l2,4.904,5.517,
,,csdj,l3,4.237,4.812,
,,csdj,r1,5.108,5.817,
,,csdj,r2,4.188,4.812,
,,csdj,r3,4.379,5.050,
TRT_SIM_10,1c3a7fd8-b477-42e4-8482-d59038793c3f,nrc,l1,4.908,5.167,
,,nrc,l2,5.104,5.358,L/R Synced
,,nrc,l3,5.254,5.525,
,,nrc,r1,5.263,5.583,
,,nrc,r2,5.067,5.312,
,,nrc,r3,4.975,5.221,
,,nsdj,l1,6.763,7.158,
,,nsdj,l2,6.996,7.333,
,,nsdj,l3,5.921,6.300,
,,nsdj,r1,6.200,6.567,
,,nsdj,r2,6.154,6.587,
,,nsdj,r3,6.633,7.004,
, 3ae34564-1883-4536-b298-4d12dbcecfe3,nrc,l1,5.992,6.204,
,,nrc,l2,5.588,5.812,
,,nrc,l3,,,not synced
,,nrc,r1,,,not synced
,,nrc,r2,5.496,5.737,L/R Synced
,,nrc,r3,5.904,6.162,
,,nsdj,l1,5.812,6.154,
,,nsdj,l2,4.900,5.246,
,,nsdj,l3,6.621,7.000,
,,nsdj,r1,6.179,6.558,
,,nsdj,r2,5.896,6.267,L/R Synced
,,nsdj,r3,4.883,5.192,
,,crc,l1,6.492,6.854,"L/R Synced, C barely off"
,,crc,l2,6.467,6.858,L/R Synced
,,crc,l2_1,9.425,9.925,
,,crc,l3,,,not synced
,,crc,r1,7.292,7.700,
,,crc,r2,7.000,7.396,
,,crc,r3,6.812,7.337,
,,csdj,l1,7.421,7.942,
,,csdj,l2,6.879,7.312,
,,csdj,l3,6.704,7.167,
,,csdj,r1,6.171,6.625,
,,csdj,r2,7.554,8.075,
,,csdj,r3,6.642,7.129,
TRT_SIM_S11,438461d4-f466-4789-a6a5-98455e77137c,nrc,l1,4.854,5.254,
,,nrc,l2,4.900,5.258,
,,nrc,l3,5.312,5.708,
,,nrc,r1,,,no attempt
,,nrc,r1_1,5.104,5.521,
,,nrc,r2,5.375,5.729,
,,nrc,r3,5.150,5.537,
,,nsdj,l1,7.104,7.500,
,,nsdj,l2,5.429,5.846,
,,nsdj,l3,6.096,6.508,
